date,temperature_2m_mean,precipitation_sum,soil_moisture_0_to_10cm_mean
1950-03-24 00:00:00+00:00,22.700024,2.7826385,0.28652698
1950-03-25 00:00:00+00:00,23.397577,1.1794158,0.28367853
1950-03-26 00:00:00+00:00,23.39513,5.6086407,0.27983
1950-03-27 00:00:00+00:00,22.842682,3.3786583,0.28998157
1950-03-28 00:00:00+00:00,22.540232,0.5025864,0.28513312
1950-03-29 00:00:00+00:00,23.187786,0.6939359,0.27028465
1950-03-30 00:00:00+00:00,23.085337,1.0136534,0.26343617
1950-03-31 00:00:00+00:00,22.83289,0.8907962,0.25758767
1950-04-01 00:00:00+00:00,23.130442,0.12782048,0.25073922
1950-04-02 00:00:00+00:00,22.477993,0.0,0.23789075
1950-04-03 00:00:00+00:00,23.475546,0.0,0.22604229
1950-04-04 00:00:00+00:00,23.1731,0.6480062,0.21719381
1950-04-05 00:00:00+00:00,21.570652,4.6881547,0.23034534
1950-04-06 00:00:00+00:00,21.068203,4.6458397,0.2654969
1950-04-07 00:00:00+00:00,19.965755,3.617035,0.2626484
1950-04-08 00:00:00+00:00,19.213306,6.7425423,0.28079993
1950-04-09 00:00:00+00:00,19.060862,3.3890526,0.28695145
1950-04-10 00:00:00+00:00,20.00841,0.26724255,0.27710298
1950-04-11 00:00:00+00:00,21.105963,0.0,0.2612545
1950-04-12 00:00:00+00:00,22.403515,0.0,0.24840605
1950-04-13 00:00:00+00:00,23.101068,0.8833608,0.24055755
1950-04-14 00:00:00+00:00,21.74862,0.61518574,0.23870909
1950-04-15 00:00:00+00:00,23.596172,0.0,0.23286064
1950-04-16 00:00:00+00:00,24.143724,1.2455655,0.22401217
1950-04-17 00:00:00+00:00,23.441277,11.629925,0.24216372
1950-04-18 00:00:00+00:00,22.03883,2.5935788,0.2823152
1950-04-19 00:00:00+00:00,21.436382,0.0705682,0.26646674
1950-04-20 00:00:00+00:00,20.233932,0.0,0.2536183
1950-04-21 00:00:00+00:00,22.481483,0.0,0.24176982
1950-04-22 00:00:00+00:00,23.029037,0.79288286,0.23292133
1950-04-23 00:00:00+00:00,22.776588,13.362028,0.2520729
1950-04-24 00:00:00+00:00,22.32414,6.878775,0.29822436
1950-04-25 00:00:00+00:00,21.471695,2.6552725,0.2933759
1950-04-26 00:00:00+00:00,21.269245,0.0,0.28352743
1950-04-27 00:00:00+00:00,21.1668,0.0,0.26767898
1950-04-28 00:00:00+00:00,21.56435,0.0,0.25583053
1950-04-29 00:00:00+00:00,22.411903,0.0,0.24498203
1950-04-30 00:00:00+00:00,22.959454,0.0,0.23513359
1950-05-01 00:00:00+00:00,23.207006,0.0,0.22628509
1950-05-02 00:00:00+00:00,22.704557,0.0,0.21743663
1950-05-03 00:00:00+00:00,23.051102,0.870118,0.21056344
1950-05-04 00:00:00+00:00,22.394619,1.9006974,0.21761608
1950-05-05 00:00:00+00:00,23.188135,0.0,0.21666875
1950-05-06 00:00:00+00:00,22.581654,1.90533,0.21072137
1950-05-07 00:00:00+00:00,22.425167,0.47692654,0.213774
1950-05-08 00:00:00+00:00,21.968687,0.07958849,0.20682663
1950-05-09 00:00:00+00:00,22.112202,0.23907304,0.19987929
1950-05-10 00:00:00+00:00,21.755718,0.55856735,0.19593194
1950-05-11 00:00:00+00:00,21.649235,0.0,0.18998456
1950-05-12 00:00:00+00:00,22.39275,0.16001932,0.1830372
1950-05-13 00:00:00+00:00,23.236267,0.0,0.17808986
1950-05-14 00:00:00+00:00,22.379782,1.9255648,0.17414252
1950-05-15 00:00:00+00:00,19.523302,6.5883775,0.20019512
1950-05-16 00:00:00+00:00,18.916819,1.4483234,0.23124777
1950-05-17 00:00:00+00:00,17.760334,1.0475523,0.22030042
1950-05-18 00:00:00+00:00,18.853851,0.4035088,0.21535304
1950-05-19 00:00:00+00:00,19.597366,0.08082491,0.20740572
1950-05-20 00:00:00+00:00,20.240885,0.48570272,0.20045832
1950-05-21 00:00:00+00:00,20.134401,1.7837261,0.19551097
1950-05-22 00:00:00+00:00,19.027918,0.48725408,0.20256361
1950-05-23 00:00:00+00:00,17.871435,6.182005,0.2126162
1950-05-24 00:00:00+00:00,17.71495,5.8664203,0.24666888
1950-05-25 00:00:00+00:00,18.158464,6.774187,0.26572153
1950-05-26 00:00:00+00:00,18.701982,3.3520877,0.26877418
1950-05-27 00:00:00+00:00,19.1955,0.573319,0.25982684
1950-05-28 00:00:00+00:00,19.539015,2.215357,0.25287947
1950-05-29 00:00:00+00:00,19.632532,0.4932057,0.2539321
1950-05-30 00:00:00+00:00,19.62605,0.16470976,0.24498475
1950-05-31 00:00:00+00:00,18.919567,0.16502437,0.23603739
1950-06-01 00:00:00+00:00,19.213085,3.3895907,0.24009001
1950-06-02 00:00:00+00:00,19.506598,0.16567461,0.24414268
1950-06-03 00:00:00+00:00,19.000113,0.0,0.23419532
1950-06-04 00:00:00+00:00,19.79363,1.6635451,0.22724797
1950-06-05 00:00:00+00:00,19.837149,0.3334125,0.23030059
1950-06-06 00:00:00+00:00,20.130665,1.4200628,0.22535324
1950-06-07 00:00:00+00:00,19.724182,4.1858664,0.2274059
1950-06-08 00:00:00+00:00,18.267698,1.0068715,0.24645852
1950-06-09 00:00:00+00:00,18.661217,0.25229743,0.23751117
1950-06-10 00:00:00+00:00,19.354733,2.9503973,0.23356378
1950-06-11 00:00:00+00:00,19.698246,1.7744975,0.24261644
1950-06-12 00:00:00+00:00,18.741764,0.42353907,0.23866908
1950-06-13 00:00:00+00:00,19.88528,0.084921025,0.22972172
1950-06-14 00:00:00+00:00,19.878798,0.0,0.22077432
1950-06-15 00:00:00+00:00,20.272314,2.3048315,0.21582699
1950-06-16 00:00:00+00:00,19.86583,0.42797232,0.22587964
1950-06-17 00:00:00+00:00,19.359348,1.5449574,0.22193228
1950-06-18 00:00:00+00:00,20.002863,0.86073905,0.2249849
1950-06-19 00:00:00+00:00,20.74638,0.0,0.21703756
1950-06-20 00:00:00+00:00,21.889894,0.0,0.20709021
1950-06-21 00:00:00+00:00,22.633413,0.0,0.19814284
1950-06-22 00:00:00+00:00,22.42693,0.0,0.18919548
1950-06-23 00:00:00+00:00,22.120445,0.0,0.1812481
1950-06-24 00:00:00+00:00,21.563963,0.78914046,0.17530078
1950-06-25 00:00:00+00:00,19.40748,4.9267955,0.18735342
1950-06-26 00:00:00+00:00,19.600996,4.4141865,0.23040603
1950-06-27 00:00:00+00:00,18.294512,7.7080617,0.25345868
1950-06-28 00:00:00+00:00,18.038029,1.3338445,0.25051132
1950-06-29 00:00:00+00:00,18.631546,0.0,0.23756394
1950-06-30 00:00:00+00:00,19.725063,0.9856406,0.22761661
1950-07-01 00:00:00+00:00,19.018581,0.719687,0.22766924
1950-07-02 00:00:00+00:00,19.412096,0.0,0.22272189
1950-07-03 00:00:00+00:00,19.20705,0.0,0.21469302
1950-07-04 00:00:00+00:00,19.304401,0.0,0.2065284
1950-07-05 00:00:00+00:00,19.801756,0.0,0.19936374
1950-07-06 00:00:00+00:00,20.399107,0.17726034,0.19319908
1950-07-07 00:00:00+00:00,19.996462,0.0,0.18903448
1950-07-08 00:00:00+00:00,20.493814,0.17510013,0.1838698
1950-07-09 00:00:00+00:00,20.591167,4.003269,0.19170515
1950-07-10 00:00:00+00:00,20.488522,0.6056144,0.2045405
1950-07-11 00:00:00+00:00,18.885874,0.0,0.19737585
1950-07-12 00:00:00+00:00,18.983225,0.08552612,0.18921119
1950-07-13 00:00:00+00:00,19.430578,0.08504646,0.18204656
1950-07-14 00:00:00+00:00,20.227932,1.0149202,0.17488194
1950-07-15 00:00:00+00:00,18.825285,5.299338,0.17971727
1950-07-16 00:00:00+00:00,16.622637,8.115559,0.23855264
1950-07-17 00:00:00+00:00,12.56999,0.0,0.23938796
1950-07-18 00:00:00+00:00,13.267343,0.0,0.22122331
1950-07-19 00:00:00+00:00,16.464697,0.0,0.20905864
1950-07-20 00:00:00+00:00,15.9620495,0.0,0.20089401
1950-07-21 00:00:00+00:00,19.159403,0.0,0.19372942
1950-07-22 00:00:00+00:00,19.406755,0.8114022,0.18856476
1950-07-23 00:00:00+00:00,19.704107,1.1304593,0.1904001
1950-07-24 00:00:00+00:00,19.20146,1.84831,0.19723544
1950-07-25 00:00:00+00:00,21.348814,0.07998266,0.1980708
1950-07-26 00:00:00+00:00,20.946163,1.7514412,0.19190612
1950-07-27 00:00:00+00:00,17.69352,7.13214,0.22374147
1950-07-28 00:00:00+00:00,17.44087,1.2622019,0.23957688
1950-07-29 00:00:00+00:00,17.388226,0.6282851,0.22641218
1950-07-30 00:00:00+00:00,17.235577,0.15637973,0.21824756
1950-07-31 00:00:00+00:00,17.13293,0.38925076,0.21008289
1950-08-01 00:00:00+00:00,17.630283,0.31006542,0.20491825
1950-08-02 00:00:00+00:00,17.227634,0.077188306,0.19775361
1950-08-03 00:00:00+00:00,18.074987,0.0,0.18958895
1950-08-04 00:00:00+00:00,18.27234,0.0,0.18142429
1950-08-05 00:00:00+00:00,18.919693,0.0,0.17325968
1950-08-06 00:00:00+00:00,20.567045,0.0,0.16609505
1950-08-07 00:00:00+00:00,21.764399,0.4537757,0.15793037
1950-08-08 00:00:00+00:00,22.06175,3.3146434,0.15776572
1950-08-09 00:00:00+00:00,20.059103,1.5758638,0.18860108
1950-08-10 00:00:00+00:00,18.156456,4.1114793,0.2014364
1950-08-11 00:00:00+00:00,18.903809,0.29788718,0.20927176
1950-08-12 00:00:00+00:00,19.151161,0.0,0.1961071
1950-08-13 00:00:00+00:00,20.498514,3.178576,0.19094248
1950-08-14 00:00:00+00:00,17.095871,2.1358824,0.21277787
1950-08-15 00:00:00+00:00,17.193222,0.2935441,0.20761317
1950-08-16 00:00:00+00:00,17.740574,0.0,0.19544853
1950-08-17 00:00:00+00:00,17.187927,0.0,0.18328388
1950-08-18 00:00:00+00:00,19.285278,0.0,0.17211923
1950-08-19 00:00:00+00:00,20.18263,0.0,0.16195461
1950-08-20 00:00:00+00:00,22.829985,0.0,0.15278995
1950-08-21 00:00:00+00:00,21.427338,0.0,0.1426253
1950-08-22 00:00:00+00:00,21.874691,0.21491848,0.13646065
1950-08-23 00:00:00+00:00,21.072042,3.6416316,0.14129598
1950-08-24 00:00:00+00:00,21.219395,2.989266,0.17313135
1950-08-25 00:00:00+00:00,21.766748,0.35472393,0.1749667
1950-08-26 00:00:00+00:00,21.2141,1.7679958,0.16880207
1950-08-27 00:00:00+00:00,21.211454,0.84597677,0.17163743
1950-08-28 00:00:00+00:00,21.908804,0.28111765,0.16447277
1950-08-29 00:00:00+00:00,22.256159,0.14012764,0.15430811
1950-08-30 00:00:00+00:00,22.553514,0.0,0.14314348
1950-08-31 00:00:00+00:00,22.450867,0.0,0.13197881
1950-09-01 00:00:00+00:00,22.598219,0.0,0.12181418
1950-09-02 00:00:00+00:00,23.246979,0.0,0.11274949
1950-09-03 00:00:00+00:00,23.097145,0.0,0.1047848
1950-09-04 00:00:00+00:00,24.347315,0.0,0.09782013
1950-09-05 00:00:00+00:00,25.947481,0.0,0.08985548
1950-09-06 00:00:00+00:00,26.447649,0.0,0.08389078
1950-09-07 00:00:00+00:00,23.597816,1.6933459,0.0799261
1950-09-08 00:00:00+00:00,20.847984,4.3183913,0.112961456
1950-09-09 00:00:00+00:00,20.998154,1.7478348,0.13999672
1950-09-10 00:00:00+00:00,23.248318,0.06698211,0.13703206
1950-09-11 00:00:00+00:00,22.998486,0.0,0.12506735
1950-09-12 00:00:00+00:00,22.898655,0.0,0.113102704
1950-09-13 00:00:00+00:00,22.798824,0.0,0.10213801
1950-09-14 00:00:00+00:00,22.89899,0.0,0.09317334
1950-09-15 00:00:00+00:00,22.549158,0.0,0.085208654
1950-09-16 00:00:00+00:00,22.999325,0.0,0.07924397
1950-09-17 00:00:00+00:00,24.199493,0.0,0.07427929
1950-09-18 00:00:00+00:00,24.99966,0.0,0.070314616
1950-09-19 00:00:00+00:00,24.149828,0.06510999,0.06634992
1950-09-20 00:00:00+00:00,24.849998,0.0,0.06338523
1950-09-21 00:00:00+00:00,25.350164,0.0,0.060420573
